https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1614732164,2021-03-03 00:42:44,LTC/USDT,187.70012087,187.70012087,187.70012087,187.70012087,0.0,0.0
1614729600,2021-03-03 00:00:00,LTC/USDT,178.90829336,196.27844574,176.96839925,187.70012087,4148444.08027356,21778.30053317
1614644212,2021-03-02 00:16:52,LTC/USDT,179.0,179.0,179.0,179.0,0.0,0.0
1614643200,2021-03-02 00:00:00,LTC/USDT,175.88809669,185.16262904,170.80854315,179.0,2473768.85336289,13966.56775609
1614557862,2021-03-01 00:17:42,LTC/USDT,175.72356311,175.72356311,175.72356311,175.72356311,0.0,0.0
1614556800,2021-03-01 00:00:00,LTC/USDT,165.26980186,176.62544999,163.5,175.72356311,1726286.5353888,10166.50142366
1614471829,2021-02-28 00:23:49,LTC/USDT,165.2112624,165.2112624,165.2112624,165.2112624,0.0,0.0
1614470400,2021-02-28 00:00:00,LTC/USDT,171.6872328,172.78094116,152.94549785,165.2112624,2963350.2794067,18502.0672981
1614385210,2021-02-27 00:20:10,LTC/USDT,171.80878035,171.80878035,171.80878035,171.80878035,0.0,0.0
1614384000,2021-02-27 00:00:00,LTC/USDT,170.26066658,180.28131829,167.25805864,171.80878035,1508903.23812247,8641.1818913
1614298624,2021-02-26 00:17:04,LTC/USDT,170.13518975,170.13518975,170.13518975,170.13518975,0.0,0.0
1614297600,2021-02-26 00:00:00,LTC/USDT,179.04972373,182.78430033,162.77766342,170.13518975,2786673.38781652,16129.80110845
1614212098,2021-02-25 00:14:58,LTC/USDT,179.36361005,179.36361005,179.36361005,179.36361005,0.0,0.0
1614211200,2021-02-25 00:00:00,LTC/USDT,181.24594227,204.95166644,175.2,179.36361005,4041643.5730198,21165.37746412
1614126658,2021-02-24 00:30:58,LTC/USDT,181.05876835,181.05876835,181.05876835,181.05876835,0.0,0.0
1614124800,2021-02-24 00:00:00,LTC/USDT,177.62832687,189.33997041,169.21315888,181.05876835,2932057.35560696,16128.45201704
1614039067,2021-02-23 00:11:07,LTC/USDT,177.60699982,177.60699982,177.60699982,177.60699982,0.0,0.0
1614038400,2021-02-23 00:00:00,LTC/USDT,208.10844351,208.71281684,158.3006336,177.60699982,11084928.82664106,61990.01905512
1613952800,2021-02-22 00:13:20,LTC/USDT,208.05534306,208.05534306,208.05534306,208.05534306,0.0,0.0
1613952000,2021-02-22 00:00:00,LTC/USDT,227.13413714,227.13413714,180.1,208.05534306,10355203.1919415,50063.6685925
1613866408,2021-02-21 00:13:28,LTC/USDT,227.30402774,227.30402774,227.30402774,227.30402774,0.0,0.0
1613865600,2021-02-21 00:00:00,LTC/USDT,226.73816589,233.56762976,220.2244898,227.30402774,2607032.06049396,11459.89371883
1613780053,2021-02-20 00:14:13,LTC/USDT,227.0,227.0,227.0,227.0,0.0,0.0
1613779200,2021-02-20 00:00:00,LTC/USDT,237.1178722,246.88010392,214.5470963,227.0,6148682.00824529,26291.42719731
1613693602,2021-02-19 00:13:22,LTC/USDT,236.42387601,236.42387601,236.42387601,236.42387601,0.0,0.0
1613692800,2021-02-19 00:00:00,LTC/USDT,227.21807581,241.79213921,220.21930469,236.42387601,5200715.20652244,22269.7192931
1613607289,2021-02-18 00:14:49,LTC/USDT,226.45991939,226.45991939,226.45991939,226.45991939,0.0,0.0
1613606400,2021-02-18 00:00:00,LTC/USDT,237.45134655,238.791,221.04765585,226.45991939,3772537.42537387,16513.27305996
1613521416,2021-02-17 00:23:36,LTC/USDT,237.4914899,237.4914899,237.4914899,237.4914899,0.0,0.0
1613520000,2021-02-17 00:00:00,LTC/USDT,210.53066984,237.51722488,203.58357608,237.4914899,4975457.31313687,22252.39732888
1613434239,2021-02-16 00:10:39,LTC/USDT,210.10649989,210.10649989,210.10649989,210.10649989,0.0,0.0
1613433600,2021-02-16 00:00:00,LTC/USDT,208.46886674,219.84790519,200.2847243,210.10649989,5742598.79283963,27289.56114576
1613347866,2021-02-15 00:11:06,LTC/USDT,207.96886675,207.96886675,207.96886675,207.96886675,0.0,0.0
1613347200,2021-02-15 00:00:00,LTC/USDT,214.08319683,219.77532859,185.67661995,207.96886675,4870066.31276403,23677.71717434
1613261582,2021-02-14 00:13:02,LTC/USDT,213.58526347,213.58526347,213.58526347,213.58526347,0.0,0.0
1613260800,2021-02-14 00:00:00,LTC/USDT,225.96126346,230.40535619,207.70291894,213.58526347,3985945.40863259,18242.47190763
1613175256,2021-02-13 00:14:16,LTC/USDT,225.86435388,225.86435388,225.86435388,225.86435388,0.0,0.0
1613174400,2021-02-13 00:00:00,LTC/USDT,196.74502426,228.56484051,191.72032104,225.86435388,6834565.77974704,32794.88073605
1613088749,2021-02-12 00:12:29,LTC/USDT,196.37711636,196.37711636,196.37711636,196.37711636,0.0,0.0
1613088000,2021-02-12 00:00:00,LTC/USDT,184.3068,199.43716691,176.82821342,196.37711636,4026045.32045998,21389.34261992
1613002271,2021-02-11 00:11:11,LTC/USDT,183.88448841,183.88448841,183.88448841,183.88448841,0.0,0.0
1613001600,2021-02-11 00:00:00,LTC/USDT,181.61009537,193.25986883,175.824,183.88448841,3714692.35772698,20027.82950897
1612916953,2021-02-10 00:29:13,LTC/USDT,181.78242468,181.78242468,181.78242468,181.78242468,0.0,0.0
1612915200,2021-02-10 00:00:00,LTC/USDT,181.97908832,195.0,170.09949611,181.78242468,4717013.12508792,25674.08327477
1612829488,2021-02-09 00:11:28,LTC/USDT,181.55663347,181.55663347,181.55663347,181.55663347,0.0,0.0
1612828800,2021-02-09 00:00:00,LTC/USDT,167.77272726,184.28324264,164.19712201,181.55663347,3788627.44511856,22132.59630942
1612743204,2021-02-08 00:13:24,LTC/USDT,167.27272726,167.27272726,167.27272726,167.27272726,0.0,0.0
1612742400,2021-02-08 00:00:00,LTC/USDT,150.75423431,169.0,147.82738629,167.27272726,2884960.78659469,18051.85724707
1612657025,2021-02-07 00:17:05,LTC/USDT,150.75423431,150.75423431,150.75423431,150.75423431,0.0,0.0
1612656000,2021-02-07 00:00:00,LTC/USDT,155.499782,157.23253856,145.26330532,150.75423431,1609745.23466627,10660.07955959
1612570626,2021-02-06 00:17:06,LTC/USDT,155.72632461,155.72632461,155.72632461,155.72632461,0.0,0.0
1612569600,2021-02-06 00:00:00,LTC/USDT,155.04809082,164.0,150.0,155.72632461,2639795.47046289,16608.31476575
1612484026,2021-02-05 00:13:46,LTC/USDT,154.57590658,154.57590658,154.57590658,154.57590658,0.0,0.0
1612483200,2021-02-05 00:00:00,LTC/USDT,145.0737984,156.78829719,143.6092984,154.57590658,1691875.64829978,11129.68922837
1612397815,2021-02-04 00:16:55,LTC/USDT,145.0737984,145.0737984,145.0737984,145.0737984,0.0,0.0
1612396800,2021-02-04 00:00:00,LTC/USDT,156.11547201,158.48317413,141.27710384,145.0737984,2058944.04811862,13837.20857147
